Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural
Assam, 31-05-2019, Monthly,4.29,11749334.0,57.39,Rural
Bihar, 31-05-2019, Monthly,9.27,24322330.0,39.75,Rural
Chhattisgarh, 31-05-2019, Monthly,9.82,6259019.0,42.89,Rural
Delhi, 31-05-2019, Monthly,12.56,169487.0,42.33,Rural
Goa, 31-05-2019, Monthly,2.91,179340.0,39.16,Rural
Gujarat, 31-05-2019, Monthly,2.88,13954728.0,52.03,Rural
Haryana, 31-05-2019, Monthly,14.54,5249186.0,45.12,Rural
Himachal Pradesh, 31-05-2019, Monthly,13.68,2045760.0,44.23,Rural
Jammu & Kashmir, 31-05-2019, Monthly,12.78,2495186.0,40.57,Rural
Jharkhand, 31-05-2019, Monthly,7.11,7035766.0,39.04,Rural
Karnataka, 31-05-2019, Monthly,5.46,13911440.0,46.36,Rural
Kerala, 31-05-2019, Monthly,6.63,5184355.0,38.07,Rural
Madhya Pradesh, 31-05-2019, Monthly,3.63,15349838.0,37.97,Rural
Maharashtra, 31-05-2019, Monthly,3.67,23896858.0,47.11,Rural
Meghalaya, 31-05-2019, Monthly,3.16,1119011.0,66.13,Rural
Odisha, 31-05-2019, Monthly,4.17,11155753.0,40.47,Rural
Puducherry, 31-05-2019, Monthly,0.0,172474.0,43.08,Rural
Punjab, 31-05-2019, Monthly,9.17,6088547.0,44.79,Rural
Rajasthan, 31-05-2019, Monthly,4.03,15226005.0,38.52,Rural
Sikkim, 31-10-2019, Monthly,5.48,146688.0,44.06,Rural
Tamil Nadu, 31-05-2019, Monthly,0.97,15844698.0,49.44,Rural
Telangana, 31-05-2019, Monthly,2.23,11053353.0,61.74,Rural
Tripura, 31-05-2019, Monthly,29.25,1019549.0,64.47,Rural
Uttar Pradesh, 31-05-2019, Monthly,10.26,43287808.0,39.96,Rural
Uttarakhand, 31-05-2019, Monthly,1.63,2108044.0,37.47,Rural
West Bengal, 31-05-2019, Monthly,6.02,23452875.0,46.41,Rural
Chandigarh, 31-05-2019,Monthly,18.35,348042.0,44.89,Urban
